property_type,sector,society,price,price_per_sqft,area,super_built_up_area,built_up_area,carpet_area,bedRoom,bathroom,balcony,floorNum,agePossession,store room,servant room,puja room,study room,others,East,North,North-East,North-West,South,South-East,South-West,Unknown,West,furnish_type,luxury_score
house,sector 67,ansal api esencia. ,5.46,24170.0,2259.0,,2259.0,,4.0,5.0,3+,2.0,relatively new,1,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,13.0
house,sector 25,,10.0,37037.0,2700.0,,2700.0,,5.0,6.0,3,3.0,old,1,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,123.0
house,sector 25,,9.0,28490.0,3159.0,,3159.0,,10.0,10.0,3,3.0,old,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,160.0
flat,sector 113,la vida by tata housing,1.5,11755.0,1276.05,,,1276.0,2.0,2.0,2,13.0,new property,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,123.0
flat,sector 113,la vida by tata housing,1.93,12222.0,1579.12,1579.0,1579.0,,3.0,3.0,2,8.0,under construction,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,123.0
house,sector 57,,3.3,19097.0,1728.02,,1728.0,,4.0,4.0,2,3.0,moderately old,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,139.0
flat,sector 37,signature global city,1.1,9838.0,1118.11,,,1118.0,2.0,2.0,2,4.0,unknown,1,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,155.0
house,sector 15,,7.2,22222.0,3240.03,,3231.0,,3.0,3.0,2,1.0,old,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,136.0
house,sector 28,suncity essel towers. ,6.0,22222.0,2700.03,,2700.0,,4.0,4.0,3+,3.0,old,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,144.0
house,sector 25,,9.0,33333.0,2700.03,,2700.0,,5.0,5.0,3,3.0,old,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,166.0
house,sector 26,,5.8,32222.0,1800.01,,1800.0,,5.0,5.0,3+,2.0,old,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,157.0
house,sector 55,,7.49,27741.0,2699.97,,2700.0,,12.0,12.0,3+,4.0,relatively new,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,156.0
house,sector 43,,13.5,50000.0,2700.0,,2700.0,,16.0,16.0,3+,4.0,relatively new,0,1,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,148.0
house,sector 56,,11.95,43534.0,2744.98,,2745.0,,12.0,12.0,3+,4.0,relatively new,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,134.0
house,sector 56,,12.39,45889.0,2699.99,,2700.0,,16.0,18.0,3+,4.0,new property,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,142.0
house,sector 25,nul,6.25,34722.0,1800.01,,1800.0,,5.0,5.0,3,2.0,moderately old,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,151.0
flat,sector 92,dlf garden city floors,1.7,8588.0,1979.51,1630.0,1630.0,,3.0,4.0,2,1.0,under construction,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,155.0
house,sector 43,,5.75,29716.0,1934.98,,1935.0,,4.0,4.0,2,2.0,old,1,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,138.0
flat,sector 69,tulip yellow,1.8,10563.0,1704.06,,,1704.0,3.0,3.0,3,14.0,under construction,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,155.0
